species_full	species_code
Acanthopleura granulata	agr
Acyrthosiphon pisum	api
Adineta vaga	ava
Aedes aegypti	aae
Alligator mississippiensis	ami
Anolis carolinensis	aca
Anopheles gambiae	aga
Apis mellifera	ame
Ascaris suum	asu
Astatotilapia burtoni	abu
Ateles geoffroyi	age
Bactrocera dorsalis	bdo
Blattella germanica	bge
Bos taurus	bta
Branchiostoma belcheri	bbe
Branchiostoma floridae	bfl
Branchiostoma lanceolatum	bla
Caenorhabditis brenneri	cbn
Caenorhabditis briggsae	cbr
Caenorhabditis elegans	cel
Caenorhabditis remanei	crm
Callithrix jacchus	cja
Callorhinchus milii	cmi
Canis lupus familiaris	cfa
Capitella teleta	cte
Capra hircus	chi
Cavia porcellus	cpo
Centruroides sculpturatus	csc
Chrysemys picta	cpi
Ciona intestinalis	cin
Ciona savignyi	csa
Columba livia	cli
Cricetulus griseus	cgr
Culex quinquefasciatus	cqu
Cyprinus carpio	ccr
Danio rerio	dre
Daphnia pulex	dpu
Dasypus novemcinctus	dno
Daubentonia madagascariensis	dma
Diachasmimorpha longicaudata	dlo
Dimorphilus gyrociliatus	dgy
Drosophila ananassae	dan
Drosophila erecta	der
Drosophila grimshawi	dgr
Drosophila melanogaster	dme
Drosophila mojavensis	dmo
Drosophila persimilis	dpe
Drosophila pseudoobscura	dps
Drosophila sechellia	dse
Drosophila simulans	dsi
Drosophila virilis	dvi
Drosophila willistoni	dwi
Drosophila yakuba	dya
Echinococcus multilocularis	emu
Echinops telfairi	ete
Epimenia babai	eba
Eptatretus burgeri	ebu
Eptesicus fuscus	efu
Equus caballus	eca
Euprymna scolopes	esc
Fasciola hepatica	fhe
Fugu rubripes	fru
Gadus morhua	gmo
Gallus gallus	gga
Gekko japonicus	gja
Glossina pallidipes	gpa
Gorilla gorilla	ggo
Gyrodactylus salaris	gsa
Haemonchus contortus	hco
Haliotis rufescens	hru
Heligmosomoides polygyrus	hpo
Hippoglossus hippoglossus	hhi
Hofstenia miamia	hmi
Homo sapiens	hsa
Ictalurus punctatus	ipu
Ixodes scapularis	isc
Laevipilina hyalina	lhy
Lagothrix lagotricha	lla
Latimeria chalumnae	lch
Lepisosteus oculatus	loc
Limulus polyphemus	lpo
Lineus longissimus	llo
Lingula anatina	lan
Lottia gigantea	lgi
Loxodonta africana	laf
Lytechinus variegatus	lva
Macaca mulatta	mml
Macaca nemestrina	mne
Magallana gigas	mgi
Manduca sexta	mse
Melibe leonina	mle
Mesocestoides corti	mco
Metriaclima zebra	mze
Microcaecilia unicolor	mun
Microcebus murinus	mmr
Monodelphis domestica	mdo
Monopterus albus	mal
Mopalia muscosa	mms
Mus musculus	mmu
Nasonia giraulti	ngi
Nasonia vitripennis	nvi
Neolamprologus brichardi	nbr
Nomascus leucogenys	nle
Notamacropus eugenii	neu
Octopus bimaculoides	obi
Octopus vulgaris	ovu
Oikopleura dioica	odi
Ophiophagus hannah	oha
Oreochromis niloticus	oni
Ornithorhynchus anatinus	oan
Oryctolagus cuniculus	ocu
Oryzias latipes	ola
Otolemur garnettii	oga
Ovis aries	oar
Owenia fusiformis	ofu
Pan paniscus	ppa
Pan troglodytes	ptr
Panagrellus redivivus	prd
Papio hamadryas	pha
Paralichthys olivaceus	pol
Parasteatoda tepidariorum	pte
Patiria miniata	pmi
Petromyzon marinus	pma
Phoronis australis	pau
Platynereis dumerilii	pdu
Polistes canadensis	pca
Pomphorhynchus laevis	ple
Pongo abelii	pae
Pongo pygmaeus	ppy
Pristionchus pacificus	ppc
Prostheceraeus crozeri	pcr
Pteropus alecto	pal
Ptychodera flava	pfl
Pundamilia nyererei	pny
Python bivittatus	pbv
Rattus norvegicus	rno
Ruditapes philippinarum	rph
Saccoglossus kowalevskii	sko
Saguinus labiatus	sla
Saimiri boliviensis	sbo
Salmo salar	ssa
Sarcophilus harrisii	sha
Schmidtea mediterranea	sme
Scyliorhinus torazame	sto
Seison nebaliae	sne
Sipunculus nudus	snu
Sphenodon punctatus	spn
Strongylocentrotus purpuratus	spu
Strongyloides ratti	str
Sus scrofa	ssc
Taeniopygia guttata	tgu
Tetranychus urticae	tur
Tetraodon nigroviridis	tni
Tribolium castaneum	tca
Triops cancriformis	tcf
Tupaia chinensis	tch
Wirenia argentea	war
Xenopus laevis	xla
Xenopus tropicalis	xtr
Xenoturbella bocki	xbo
