species_full	species_code	clade
Acanthopleura granulata	agr	Autre
Acyrthosiphon pisum	api	Insecta
Adineta vaga	ava	Autre
Aedes aegypti	aae	Insecta
Alligator mississippiensis	ami	Autre
Anolis carolinensis	aca	Autre
Anopheles gambiae	aga	Insecta
Apis mellifera	ame	Insecta
Ascaris suum	asu	Nematoda
Astatotilapia burtoni	abu	Actinopterygii
Ateles geoffroyi	age	Mammalia
Bactrocera dorsalis	bdo	Insecta
Blattella germanica	bge	Insecta
Bos taurus	bta	Mammalia
Branchiostoma belcheri	bbe	Autre
Branchiostoma floridae	bfl	Autre
Branchiostoma lanceolatum	bla	Autre
Caenorhabditis brenneri	cbn	Nematoda
Caenorhabditis briggsae	cbr	Nematoda
Caenorhabditis elegans	cel	Nematoda
Caenorhabditis remanei	crm	Nematoda
Callithrix jacchus	cja	Mammalia
Callorhinchus milii	cmi	Autre
Canis lupus familiaris	cfa	Mammalia
Capitella teleta	cte	Autre
Capra hircus	chi	Mammalia
Cavia porcellus	cpo	Mammalia
Centruroides sculpturatus	csc	Autre
Chrysemys picta	cpi	Autre
Ciona intestinalis	cin	Autre
Ciona savignyi	csa	Autre
Columba livia	cli	Aves
Cricetulus griseus	cgr	Mammalia
Culex quinquefasciatus	cqu	Insecta
Cyprinus carpio	ccr	Actinopterygii
Danio rerio	dre	Actinopterygii
Daphnia pulex	dpu	Autre
Dasypus novemcinctus	dno	Mammalia
Daubentonia madagascariensis	dma	Mammalia
Diachasmimorpha longicaudata	dlo	Insecta
Dimorphilus gyrociliatus	dgy	Autre
Drosophila ananassae	dan	Insecta
Drosophila erecta	der	Insecta
Drosophila grimshawi	dgr	Insecta
Drosophila melanogaster	dme	Insecta
Drosophila mojavensis	dmo	Insecta
Drosophila persimilis	dpe	Insecta
Drosophila pseudoobscura	dps	Insecta
Drosophila sechellia	dse	Insecta
Drosophila simulans	dsi	Insecta
Drosophila virilis	dvi	Insecta
Drosophila willistoni	dwi	Insecta
Drosophila yakuba	dya	Insecta
Echinococcus multilocularis	emu	Autre
Echinops telfairi	ete	Mammalia
Epimenia babai	eba	Autre
Eptatretus burgeri	ebu	Autre
Eptesicus fuscus	efu	Mammalia
Equus caballus	eca	Mammalia
Euprymna scolopes	esc	Autre
Fasciola hepatica	fhe	Autre
Fugu rubripes	fru	Actinopterygii
Gadus morhua	gmo	Actinopterygii
Gallus gallus	gga	Aves
Gekko japonicus	gja	Autre
Glossina pallidipes	gpa	Insecta
Gorilla gorilla	ggo	Mammalia
Gyrodactylus salaris	gsa	Autre
Haemonchus contortus	hco	Nematoda
Haliotis rufescens	hru	Autre
Heligmosomoides polygyrus	hpo	Nematoda
Hippoglossus hippoglossus	hhi	Actinopterygii
Hofstenia miamia	hmi	Autre
Homo sapiens	hsa	Mammalia
Ictalurus punctatus	ipu	Actinopterygii
Ixodes scapularis	isc	Autre
Laevipilina hyalina	lhy	Autre
Lagothrix lagotricha	lla	Mammalia
Latimeria chalumnae	lch	Autre
Lepisosteus oculatus	loc	Actinopterygii
Limulus polyphemus	lpo	Autre
Lineus longissimus	llo	Autre
Lingula anatina	lan	Autre
Lottia gigantea	lgi	Autre
Loxodonta africana	laf	Mammalia
Lytechinus variegatus	lva	Autre
Macaca mulatta	mml	Mammalia
Macaca nemestrina	mne	Mammalia
Magallana gigas	mgi	Autre
Manduca sexta	mse	Insecta
Melibe leonina	mle	Autre
Mesocestoides corti	mco	Autre
Metriaclima zebra	mze	Actinopterygii
Microcaecilia unicolor	mun	Amphibia
Microcebus murinus	mmr	Mammalia
Monodelphis domestica	mdo	Mammalia
Monopterus albus	mal	Actinopterygii
Mopalia muscosa	mms	Autre
Mus musculus	mmu	Mammalia
Nasonia giraulti	ngi	Insecta
Nasonia vitripennis	nvi	Insecta
Neolamprologus brichardi	nbr	Actinopterygii
Nomascus leucogenys	nle	Mammalia
Notamacropus eugenii	neu	Mammalia
Octopus bimaculoides	obi	Autre
Octopus vulgaris	ovu	Autre
Oikopleura dioica	odi	Autre
Ophiophagus hannah	oha	Autre
