species_code	species_full	clade	pct_identity_vs_human	positions_comparees
hsa	Homo sapiens	Mammalia	100.0	23
mmu	Mus musculus	Mammalia	100.0	23
rno	Rattus norvegicus	Mammalia	100.0	23
gga	Gallus gallus	Aves	100.0	23
dre	Danio rerio	Actinopterygii	100.0	23
fru	Fugu rubripes	Actinopterygii	100.0	22
tni	Tetraodon nigroviridis	Actinopterygii	100.0	22
xtr	Xenopus tropicalis	Amphibia	100.0	22
bta	Bos taurus	Mammalia	100.0	22
mdo	Monodelphis domestica	Mammalia	100.0	22
mml	Macaca mulatta	Mammalia	100.0	23
cfa	Canis lupus familiaris	Mammalia	100.0	22
ptr	Pan troglodytes	Mammalia	100.0	22
bfl	Branchiostoma floridae	Autre	100.0	22
ssc	Sus scrofa	Mammalia	100.0	22
tgu	Taeniopygia guttata	Aves	100.0	22
ppy	Pongo pygmaeus	Mammalia	100.0	22
pma	Petromyzon marinus	Autre	100.0	22
aca	Anolis carolinensis	Autre	100.0	22
ola	Oryzias latipes	Actinopterygii	100.0	22
sha	Sarcophilus harrisii	Mammalia	100.0	21
ggo	Gorilla gorilla	Mammalia	100.0	22
mse	Manduca sexta	Insecta	100.0	20
ccr	Cyprinus carpio	Actinopterygii	100.0	22
ipu	Ictalurus punctatus	Actinopterygii	100.0	22
oar	Ovis aries	Mammalia	100.0	23
bbe	Branchiostoma belcheri	Autre	100.0	22
ssa	Salmo salar	Actinopterygii	100.0	22
chi	Capra hircus	Mammalia	100.0	22
oha	Ophiophagus hannah	Autre	100.0	22
cpi	Chrysemys picta	Autre	100.0	22
ami	Alligator mississippiensis	Autre	100.0	22
cli	Columba livia	Aves	100.0	22
pbv	Python bivittatus	Autre	100.0	22
cja	Callithrix jacchus	Mammalia	100.0	22
pal	Pteropus alecto	Mammalia	100.0	23
abu	Astatotilapia burtoni	Actinopterygii	100.0	22
mze	Metriaclima zebra	Actinopterygii	100.0	22
nbr	Neolamprologus brichardi	Actinopterygii	100.0	22
oni	Oreochromis niloticus	Actinopterygii	100.0	22
pny	Pundamilia nyererei	Actinopterygii	100.0	22
gmo	Gadus morhua	Actinopterygii	100.0	22
xla	Xenopus laevis	Amphibia	100.0	22
cpo	Cavia porcellus	Mammalia	100.0	22
dno	Dasypus novemcinctus	Mammalia	100.0	23
ocu	Oryctolagus cuniculus	Mammalia	100.0	22
ppa	Pan paniscus	Mammalia	100.0	22
mmr	Microcebus murinus	Mammalia	100.0	22
dma	Daubentonia madagascariensis	Mammalia	100.0	22
nle	Nomascus leucogenys	Mammalia	100.0	22
sbo	Saimiri boliviensis	Mammalia	100.0	22
pha	Papio hamadryas	Mammalia	100.0	22
oga	Otolemur garnettii	Mammalia	100.0	22
laf	Loxodonta africana	Mammalia	100.0	22
mun	Microcaecilia unicolor	Amphibia	100.0	22
ebu	Eptatretus burgeri	Autre	100.0	22
oan	Ornithorhynchus anatinus	Mammalia	100.0	22
cmi	Callorhinchus milii	Autre	100.0	22
sto	Scyliorhinus torazame	Autre	100.0	22
pol	Paralichthys olivaceus	Actinopterygii	95.5	22
pae	Pongo abelii	Mammalia	95.5	22
gja	Gekko japonicus	Autre	95.5	22
ete	Echinops telfairi	Mammalia	95.5	22
spn	Sphenodon punctatus	Autre	95.5	22
tch	Tupaia chinensis	NA	90.9	22
dgy	Dimorphilus gyrociliatus	Autre	90.9	22
mal	Monopterus albus	Actinopterygii	90.9	22
loc	Lepisosteus oculatus	Actinopterygii	90.9	22
neu	Notamacropus eugenii	Mammalia	90.9	22
ava	Adineta vaga	Autre	86.4	22
cin	Ciona intestinalis	Autre	85.7	21
csa	Ciona savignyi	Autre	81.8	22
sme	Schmidtea mediterranea	Autre	72.7	22
odi	Oikopleura dioica	Autre	72.7	22
