species_code	species_full	clade	pct_identity_vs_human	pct_identity_seed_vs_human	positions_comparees
cel	Caenorhabditis elegans	Nematoda	100.0	100.0	21
cbr	Caenorhabditis briggsae	Nematoda	100.0	100.0	21
dre	Danio rerio	Actinopterygii	100.0	100.0	22
ppa	Pan paniscus	Mammalia	100.0	100.0	21
fru	Fugu rubripes	Actinopterygii	100.0	100.0	22
mdo	Monodelphis domestica	Mammalia	100.0	100.0	22
mml	Macaca mulatta	Mammalia	100.0	100.0	22
cfa	Canis lupus familiaris	Mammalia	100.0	100.0	21
ptr	Pan troglodytes	Mammalia	100.0	100.0	22
bta	Bos taurus	Mammalia	100.0	100.0	22
bfl	Branchiostoma floridae	Autre	100.0	100.0	22
lgi	Lottia gigantea	Autre	100.0	100.0	22
spu	Strongylocentrotus purpuratus	Autre	100.0	100.0	22
ssc	Sus scrofa	Mammalia	100.0	100.0	22
crm	Caenorhabditis remanei	Nematoda	100.0	100.0	21
ppc	Pristionchus pacificus	Nematoda	100.0	100.0	20
eca	Equus caballus	Mammalia	100.0	100.0	22
tgu	Taeniopygia guttata	Aves	100.0	100.0	22
ppy	Pongo pygmaeus	Mammalia	100.0	100.0	22
asu	Ascaris suum	Nematoda	100.0	100.0	21
ola	Oryzias latipes	Actinopterygii	100.0	100.0	22
ggo	Gorilla gorilla	Mammalia	100.0	100.0	21
pol	Paralichthys olivaceus	Actinopterygii	100.0	100.0	22
ccr	Cyprinus carpio	Actinopterygii	100.0	100.0	22
cbn	Caenorhabditis brenneri	Nematoda	100.0	100.0	21
hhi	Hippoglossus hippoglossus	Actinopterygii	100.0	100.0	22
bbe	Branchiostoma belcheri	Autre	100.0	100.0	22
pmi	Patiria miniata	Autre	100.0	100.0	22
lva	Lytechinus variegatus	Autre	100.0	100.0	22
ssa	Salmo salar	Actinopterygii	100.0	100.0	22
efu	Eptesicus fuscus	Mammalia	100.0	100.0	22
chi	Capra hircus	Mammalia	100.0	100.0	21
pal	Pteropus alecto	Mammalia	100.0	100.0	22
hpo	Heligmosomoides polygyrus	Nematoda	100.0	100.0	21
abu	Astatotilapia burtoni	Actinopterygii	100.0	100.0	22
mze	Metriaclima zebra	Actinopterygii	100.0	100.0	22
nbr	Neolamprologus brichardi	Actinopterygii	100.0	100.0	22
oni	Oreochromis niloticus	Actinopterygii	100.0	100.0	22
pny	Pundamilia nyererei	Actinopterygii	100.0	100.0	22
gmo	Gadus morhua	Actinopterygii	100.0	100.0	22
dno	Dasypus novemcinctus	Mammalia	100.0	100.0	22
ocu	Oryctolagus cuniculus	Mammalia	100.0	100.0	22
mle	Melibe leonina	Autre	100.0	100.0	22
mms	Mopalia muscosa	Autre	100.0	100.0	22
lhy	Laevipilina hyalina	Autre	100.0	100.0	22
war	Wirenia argentea	Autre	100.0	100.0	22
eba	Epimenia babai	Autre	100.0	100.0	22
mgi	Magallana gigas	Autre	100.0	100.0	22
agr	Acanthopleura granulata	Autre	100.0	100.0	22
mal	Monopterus albus	Actinopterygii	100.0	100.0	22
loc	Lepisosteus oculatus	Actinopterygii	100.0	100.0	22
bla	Branchiostoma lanceolatum	Autre	100.0	100.0	22
neu	Notamacropus eugenii	Mammalia	100.0	100.0	22
ete	Echinops telfairi	Mammalia	100.0	100.0	22
cmi	Callorhinchus milii	Autre	100.0	100.0	22
hru	Haliotis rufescens	Autre	100.0	100.0	22
sto	Scyliorhinus torazame	Autre	100.0	100.0	22
hsa	Homo sapiens	Mammalia	100.0	100.0	22
rno	Rattus norvegicus	Mammalia	95.5	100.0	22
cte	Capitella teleta	Autre	95.5	100.0	22
sko	Saccoglossus kowalevskii	Autre	95.5	100.0	22
hco	Haemonchus contortus	Nematoda	95.5	100.0	22
cgr	Cricetulus griseus	Mammalia	95.5	100.0	22
prd	Panagrellus redivivus	Nematoda	95.5	100.0	22
ple	Pomphorhynchus laevis	Autre	95.5	100.0	22
pdu	Platynereis dumerilii	Autre	95.5	100.0	22
lan	Lingula anatina	Autre	95.5	100.0	22
snu	Sipunculus nudus	Autre	95.5	100.0	22
llo	Lineus longissimus	Autre	95.5	100.0	22
pau	Phoronis australis	Autre	95.5	100.0	22
