famille	n_especes	clades_presents	identite_moyenne
let-7a-5p	74	Actinopterygii;Amphibia;Autre;Aves;Insecta;Mammalia	97.7
miR-1-3p	119	Actinopterygii;Autre;Aves;Insecta;Mammalia;Nematoda	95.0
miR-133a-3p	55	Actinopterygii;Amphibia;Autre;Aves;Mammalia	99.8
miR-208a-3p	20	Autre;Mammalia	97.5
miR-208b-3p	23	Autre;Mammalia	97.0
miR-499a-5p	6	Actinopterygii;Mammalia	99.2
