species_code	species_full	clade	pct_identity_vs_human	positions_comparees
mmu	Mus musculus	Mammalia	100.0	22
hsa	Homo sapiens	Mammalia	100.0	22
gga	Gallus gallus	Aves	100.0	22
xla	Xenopus laevis	Amphibia	100.0	21
dre	Danio rerio	Actinopterygii	100.0	22
ggo	Gorilla gorilla	Mammalia	100.0	21
age	Ateles geoffroyi	Mammalia	100.0	21
ppa	Pan paniscus	Mammalia	100.0	21
ppy	Pongo pygmaeus	Mammalia	100.0	21
ptr	Pan troglodytes	Mammalia	100.0	22
mml	Macaca mulatta	Mammalia	100.0	22
sla	Saguinus labiatus	Mammalia	100.0	21
lla	Lagothrix lagotricha	Mammalia	100.0	21
mne	Macaca nemestrina	Mammalia	100.0	21
tni	Tetraodon nigroviridis	Actinopterygii	100.0	22
xtr	Xenopus tropicalis	Amphibia	100.0	21
mdo	Monodelphis domestica	Mammalia	100.0	21
oan	Ornithorhynchus anatinus	Mammalia	100.0	21
bta	Bos taurus	Mammalia	100.0	22
cfa	Canis lupus familiaris	Mammalia	100.0	22
ssc	Sus scrofa	Mammalia	100.0	22
eca	Equus caballus	Mammalia	100.0	22
aca	Anolis carolinensis	Autre	100.0	22
sha	Sarcophilus harrisii	Mammalia	100.0	19
ccr	Cyprinus carpio	Actinopterygii	100.0	21
ipu	Ictalurus punctatus	Actinopterygii	100.0	21
ssa	Salmo salar	Actinopterygii	100.0	21
chi	Capra hircus	Mammalia	100.0	22
oha	Ophiophagus hannah	Autre	100.0	22
cpi	Chrysemys picta	Autre	100.0	22
ami	Alligator mississippiensis	Autre	100.0	22
cli	Columba livia	Aves	100.0	22
pbv	Python bivittatus	Autre	100.0	22
cja	Callithrix jacchus	Mammalia	100.0	21
pal	Pteropus alecto	Mammalia	100.0	21
abu	Astatotilapia burtoni	Actinopterygii	100.0	21
mze	Metriaclima zebra	Actinopterygii	100.0	21
nbr	Neolamprologus brichardi	Actinopterygii	100.0	21
oni	Oreochromis niloticus	Actinopterygii	100.0	22
gmo	Gadus morhua	Actinopterygii	100.0	21
cpo	Cavia porcellus	Mammalia	100.0	21
dno	Dasypus novemcinctus	Mammalia	100.0	22
ocu	Oryctolagus cuniculus	Mammalia	100.0	22
laf	Loxodonta africana	Mammalia	100.0	22
pae	Pongo abelii	Mammalia	100.0	22
mun	Microcaecilia unicolor	Amphibia	100.0	22
gja	Gekko japonicus	Autre	100.0	22
mal	Monopterus albus	Actinopterygii	100.0	22
loc	Lepisosteus oculatus	Actinopterygii	100.0	22
lch	Latimeria chalumnae	Autre	100.0	22
mmr	Microcebus murinus	Mammalia	100.0	22
ete	Echinops telfairi	Mammalia	100.0	22
spn	Sphenodon punctatus	Autre	100.0	22
sme	Schmidtea mediterranea	Autre	95.2	21
lpo	Limulus polyphemus	Autre	95.2	21
